categoria,marca,modelo,versao,motor,tipo_propulsao,transmissao,combustivel,nmog_nox_mg_km,co_mg_km,nota_verde_l8,co2_fossil_g_km,consumo_mj_km,classificacao_pbe,co_excesso_pct,nmog_excesso_pct,viola_l8
Sub Compacto,BYD,DOLPHIN MINI,GS EV,Elétrico,Elétrico,N.A.,E,0.0,0.0,A,0.0,0.41,A,0.0,0.0,False
Sub Compacto,BYD,DOLPHIN MINI,GS 5 EV,Elétrico,Elétrico,N.A.,E,0.0,0.0,A,0.0,0.41,A,0.0,0.0,False
Sub Compacto,BYD,DOLPHIN MINI,GL5EV,Elétrico,Elétrico,A-1,E,,,A,,0.39,A,,,False
Sub Compacto,FIAT,500E,ICON,ELÉTRICO,Elétrico,A-1,E,,,A,,0.46,C,,,False
Sub Compacto,FIAT,MOBI,TREKKING,1.0-6V,Combustão,M-5,F,38.0,280.0,B,91.0,1.46,E,0.0,0.0,False
Sub Compacto,FIAT,MOBI,LIKE,1.0-6V,Combustão,M-5,F,37.0,348.0,B,87.0,1.4,E,0.0,0.0,False
Sub Compacto,JAC,e-JS1,e-JS1,Elétrico,Elétrico,A-1,E,,,A,,0.5,E,,,False
Sub Compacto,JAC,e-JS1,e-JS1 EXT,Elétrico,Elétrico,A-1,E,,,A,,0.5,E,,,False
Sub Compacto,Renault,E-KWID,INTENS,Elétrico,Elétrico,A,E,,,A,,0.44,B,,,False
Compacto,FIAT,ARGO,1.0,1.0-6V,Combustão,M-5,F,32.0,390.0,B,94.0,1.52,C,0.0,0.0,False
Compacto,FIAT,ARGO,DRIVE 1.0,1.0-6V,Combustão,M-5,F,32.0,390.0,B,94.0,1.52,C,0.0,0.0,False
Compacto,FIAT,ARGO,DRIVE 1.3 AT,1.3-8V,Combustão,CVT-7,F,37.0,297.0,B,99.0,1.58,C,0.0,0.0,False
Compacto,Hyundai,HB20,Sense,1.0-12V,Combustão,M-5,F,31.0,204.0,A,93.0,1.48,B,0.0,0.0,False
Compacto,Hyundai,HB20,Comfort,1.0-12V,Combustão,M-5,F,31.0,204.0,A,93.0,1.48,B,0.0,0.0,False
Compacto,Hyundai,HB20,Limited,1.0-12V,Combustão,M-5,F,31.0,204.0,A,93.0,1.48,B,0.0,0.0,False
Compacto,Hyundai,HB20,Limited,1.0-12V T,Combustão,A-6,F,32.0,94.0,B,95.0,1.54,C,0.0,0.0,False
Compacto,Hyundai,HB20,Platinum,1.0-12V T,Combustão,A-6,F,32.0,94.0,B,95.0,1.54,C,0.0,0.0,False
Compacto,MINI,Cooper,E,Elétrico,Elétrico,A,E,0.0,0.0,A,0.0,0.46,A,0.0,0.0,False
Compacto,MINI,Cooper,SE,Elétrico,Elétrico,A,E,0.0,0.0,A,0.0,0.48,A,0.0,0.0,False
Compacto,MINI,JCW,3P,2.0 - 16V,Combustão,A-7,G,5.0,84.0,A,112.0,1.81,E,0.0,0.0,False
Compacto,MINI,Cooper,S CABRIO,2.0 - 16V,Combustão,A-7,G,6.0,77.0,A,107.0,1.73,D,0.0,0.0,False
Compacto,MINI,JCW,CABRIO,2.0 - 16V,Combustão,A-7,G,7.0,102.0,A,121.0,1.95,E,0.0,0.0,False
Compacto,MINI,JCW-E,3P,Elétrico,Elétrico,A,E,0.0,0.0,A,0.0,0.48,A,0.0,0.0,False
Compacto,MINI,Cooper,S 3P EXCLUSIVE,2.0 - 16V,Combustão,A-7,G,9.0,129.0,A,106.0,1.72,D,0.0,0.0,False
Compacto,MINI,Cooper,S 3P SPORT,2.0 - 16V,Combustão,A-7,G,9.0,129.0,A,106.0,1.72,D,0.0,0.0,False
Compacto,MINI,Cooper,S 3P TOP,2.0 - 16V,Combustão,A-7,G,9.0,129.0,A,106.0,1.72,D,0.0,0.0,False
Compacto,PEUGEOT,208,ACTIVE MT,1.0-6V,Combustão,M-5,F,40.0,413.0,B,92.0,1.49,B,0.0,0.0,False
Compacto,PEUGEOT,208,STYLE MT,1.0-6V,Combustão,M-5,F,40.0,413.0,B,92.0,1.49,B,0.0,0.0,False
Compacto,PEUGEOT,208,ALLUR T200,1.0T-12V,Combustão,CVT-7,F,31.0,339.0,B,104.0,1.69,D,0.0,0.0,False
Compacto,PEUGEOT,208,GT T200,1.0T-12V,Combustão,CVT-7,F,31.0,339.0,B,104.0,1.69,D,0.0,0.0,False
Compacto,PEUGEOT,208,GT HYBRID,1.0T-12V,Híbrido,CVT-7,F,48.0,372.0,B,99.0,1.6,C,0.0,0.0,False
Compacto,PEUGEOT,E-208,GT,ELÉTRICO,Elétrico,A-1,E,,,A,,0.59,A,,,False
Médio,AUDI,A3 Spotback,Peformance,2.0 - 16V,Combustão,DCT-7,G,12.0,113.0,A,122.0,1.96,E,0.0,0.0,False
Médio,AUDI,A3 Spotback,Performance Black,2.0 - 16V,Combustão,DCT-7,G,12.0,113.0,A,122.0,1.96,E,0.0,0.0,False
Médio,BYD,DOLPHIN,GS 180EV,Elétrico,Elétrico,N.A.,E,0.0,0.0,A,0.0,0.42,A,0.0,0.0,False
Médio,BYD,DOLPHIN,PLUS 310EV,Elétrico,Elétrico,N.A.,E,0.0,0.0,A,0.0,0.51,A,0.0,0.0,False
Médio,BYD,YUAN PRO,GS 290EV,Elétrico,Elétrico,N.A.,E,0.0,0.0,A,0.0,0.51,A,0.0,0.0,False
Médio,CAOA CHERY,TIGGO 7,PHEV,1.5T -16V,Plug-in,DHT,G,7.0,52.0,A,110.0,0.62,A,0.0,0.0,False
Médio,CHEVROLET,ONIX,LTZ,1.0T - 12V,Combustão,A-6,F,44.0,162.0,B,99.0,1.59,C,0.0,0.0,False
Médio,CHEVROLET,ONIX,PREMIER,1.0T - 12V,Combustão,A-6,F,44.0,162.0,B,99.0,1.59,C,0.0,0.0,False
Médio,CHEVROLET,ONIX,RS,1.0T - 12V,Combustão,A-6,F,48.0,199.0,B,104.0,1.68,C,0.0,0.0,False
Médio,CHEVROLET,ONIX,MT,1.0T - 12V,Combustão,M-6,F,41.0,211.0,B,87.0,1.38,A,0.0,0.0,False
Médio,CHEVROLET,ONIX,LT,1.0T - 12V,Combustão,A-6,F,44.0,162.0,B,99.0,1.59,C,0.0,0.0,False
Médio,CHEVROLET,ONIX,MT,1.0 - 12 V,Combustão,M-6,F,37.0,183.0,B,90.0,1.45,B,0.0,0.0,False
Médio,CHEVROLET,ONIX,AT,1.0T - 12V,Combustão,A-6,F,44.0,162.0,B,99.0,1.59,C,0.0,0.0,False
Médio,CHEVROLET,ONIX PLUS,LTZ,1.0T - 12V,Combustão,A-6,F,46.0,203.0,B,97.0,1.57,C,0.0,0.0,False
Médio,CHEVROLET,ONIX PLUS,PREMIER,1.0T - 12V,Combustão,A-6,F,46.0,203.0,B,97.0,1.57,C,0.0,0.0,False
Médio,CHEVROLET,ONIX PLUS,MT,1.0T - 12V,Combustão,M-6,F,38.0,189.0,B,90.0,1.44,B,0.0,0.0,False
Médio,CHEVROLET,ONIX PLUS,LT,1.0T - 12V,Combustão,A-6,F,46.0,203.0,B,97.0,1.57,C,0.0,0.0,False
Médio,CHEVROLET,ONIX PLUS,MT,1.0 - 12 V,Combustão,M-6,F,36.0,234.0,B,87.0,1.39,A,0.0,0.0,False
Médio,CHEVROLET,ONIX PLUS,AT,1.0T - 12V,Combustão,A-6,F,46.0,203.0,B,97.0,1.57,C,0.0,0.0,False
Médio,CHEVROLET,SPARK EUV,ACTIV,Elétrico,Elétrico,Automática (A),E,,,A,,0.5,A,,,False
Médio,CHEVROLET,SPIN,AT,1.8L - 8V,Combustão,A-6,F,46.0,800.0,C,119.0,1.92,E,14.29,0.0,True
Médio,CHEVROLET,SPIN,LT,1.8L - 8V,Combustão,M-6,F,62.0,611.0,C,115.0,1.85,D,0.0,3.33,True
Médio,CHEVROLET,SPIN,LT,1.8L - 8V,Combustão,A-6,F,46.0,800.0,C,119.0,1.92,E,14.29,0.0,True
Médio,FIAT,CRONOS,1.0,1.0-6V,Combustão,M-5,F,36.0,445.0,B,92.0,1.46,B,0.0,0.0,False
Médio,FIAT,CRONOS,DRIVE 1.0,1.0-6V,Combustão,M-5,F,36.0,445.0,B,92.0,1.46,B,0.0,0.0,False
Médio,FIAT,CRONOS,DRIVE1.3AT,1.3-8V,Combustão,CVT-7,F,42.0,216.0,B,99.0,1.57,C,0.0,0.0,False
Médio,FIAT,CRONOS,PREC 1.3AT,1.3-8V,Combustão,CVT-7,F,42.0,216.0,B,99.0,1.57,C,0.0,0.0,False
Médio,FIAT,CRONOS,DRIVE 1.3,1.3-8V,Combustão,M-5,F,32.0,394.0,B,92.0,1.49,B,0.0,0.0,False
Médio,Geely,EX2,MAX,Elétrico,Elétrico,A,E,,,A,,0.39,A,,,False
Médio,Geely,EX2,PRO,Elétrico,Elétrico,A,E,,,A,,0.39,A,,,False
Médio,GWM,ORA 03,GT BEV63,Elétrico,Elétrico,A-1,E,,,A,,0.54,A,,,False
Médio,GWM,ORA 03,SKIN BEV48,Elétrico,Elétrico,A-1,E,,,A,,0.52,A,,,False
Médio,GWM,ORA 03,BEV58,Elétrico,Elétrico,A-1,E,,,A,,0.51,A,,,False
Médio,HONDA,CITY,LX,1.5-16V,Combustão,CVT,F,20.0,202.0,A,95.0,1.53,C,0.0,0.0,False
Médio,HONDA,CITY,EX,1.5-16V,Combustão,CVT,F,20.0,202.0,A,95.0,1.53,C,0.0,0.0,False
Médio,HONDA,CITY,EXL,1.5-16V,Combustão,CVT,F,20.0,202.0,A,95.0,1.53,C,0.0,0.0,False
Médio,HONDA,CITY,TOURING,1.5-16V,Combustão,CVT,F,20.0,202.0,A,95.0,1.53,C,0.0,0.0,False
Médio,HONDA,CITY HATCH,LX,1.5-16V,Combustão,CVT,F,23.0,150.0,A,95.0,1.53,C,0.0,0.0,False
Médio,HONDA,CITY HATCH,EX,1.5-16V,Combustão,CVT,F,23.0,150.0,A,95.0,1.53,C,0.0,0.0,False
Médio,HONDA,CITY HATCH,EXL,1.5-16V,Combustão,CVT,F,23.0,150.0,A,95.0,1.53,C,0.0,0.0,False
Médio,HONDA,CITY HATCH,TOURING,1.5-16V,Combustão,CVT,F,23.0,150.0,A,95.0,1.53,C,0.0,0.0,False
Médio,HONDA,CITY HATCH,TOURING SPORT,1.5-16V,Combustão,CVT,F,23.0,150.0,A,95.0,1.53,C,0.0,0.0,False
Médio,HONDA,HR-V,EX,1.5-16V,Combustão,CVT,F,21.0,183.0,A,101.0,1.63,C,0.0,0.0,False
Médio,HONDA,HR-V,EXL,1.5-16V,Combustão,CVT,F,21.0,183.0,A,101.0,1.63,C,0.0,0.0,False
Médio,HONDA,HR-V,ADVANCE,1.5T-16V,Combustão,CVT,F,31.0,177.0,A,111.0,1.78,D,0.0,0.0,False
Médio,HONDA,HR-V,TOURING,1.5T-16V,Combustão,CVT,F,31.0,177.0,A,111.0,1.78,D,0.0,0.0,False
Médio,HONDA,HR-V (mod. 26),ADVANCE,1.5T-16V,Combustão,CVT,F,31.0,164.0,B,111.0,1.78,D,0.0,0.0,False
Médio,HONDA,HR-V (mod. 26),TOURING,1.5T-16V,Combustão,CVT,F,31.0,164.0,B,111.0,1.78,D,0.0,0.0,False
Médio,Hyundai,HB20S,Comfort,1.0-12V,Combustão,M-5,F,32.0,256.0,B,92.0,1.47,B,0.0,0.0,False
Médio,Hyundai,HB20S,Limited,1.0-12V,Combustão,M-5,F,32.0,256.0,B,92.0,1.47,B,0.0,0.0,False
Médio,Hyundai,HB20S,Limited,1.0-12V T,Combustão,A-6,F,33.0,103.0,B,95.0,1.53,C,0.0,0.0,False
Médio,Hyundai,HB20S,Platinum,1.0-12V T,Combustão,A-6,F,33.0,103.0,B,95.0,1.53,C,0.0,0.0,False
Médio,Hyundai,KONA,Ultimate,1.6-16V HEV,Híbrido,DCT-6,G,34.0,108.0,A,74.0,1.21,A,0.0,0.0,False
Médio,Hyundai,KONA,Signature,1.6-16V HEV,Híbrido,DCT-6,G,34.0,108.0,A,74.0,1.21,A,0.0,0.0,False
Médio,JAC,e-JS4,e-JS4,Elétrico,Elétrico,A-1,E,,,A,,0.47,A,,,False
Médio,KIA,NIRO,HEV 1.6 EX,1.6 - 16V,Híbrido,DCT-6,G,12.0,79.0,A,75.0,1.21,A,0.0,0.0,False
Médio,KIA,NIRO,HEV 1.6 LX,1.6 - 16V,Híbrido,DCT-6,G,12.0,79.0,A,75.0,1.21,A,0.0,0.0,False
Médio,KIA,NIRO,HEV 1.6 SX,1.6 - 16V,Híbrido,DCT-6,G,12.0,79.0,A,75.0,1.21,A,0.0,0.0,False
Médio,KIA,NIRO,HEV 1.6 SX RIOPEN,1.6 - 16V,Híbrido,DCT-6,G,12.0,79.0,A,75.0,1.21,A,0.0,0.0,False
Médio,MG,MG4,64 KWH COM,Elétrico,Elétrico,A-1,E,,,A,,0.5,A,,,False
Médio,MG,MG4,64 KWH LUX,Elétrico,Elétrico,A-1,E,,,A,,0.5,A,,,False
Médio,MG,MG4,64 KWH AWD,Elétrico,Elétrico,A-1,E,,,A,,0.59,A,,,False
Médio,MINI,Cooper,S 5P EXCLUSIVE,2.0 - 16V,Combustão,A-7,G,8.0,69.0,A,105.0,1.71,D,0.0,0.0,False
Médio,MINI,Cooper,S 5P TOP,2.0 - 16V,Combustão,A-7,G,8.0,69.0,A,105.0,1.71,D,0.0,0.0,False
Médio,MINI,Aceman,E,Elétrico,Elétrico,A,E,0.0,0.0,A,0.0,0.46,A,0.0,0.0,False
Médio,MINI,Aceman,SE,Elétrico,Elétrico,A,E,0.0,0.0,A,0.0,0.52,A,0.0,0.0,False
Médio,MINI,JCW-E,ACEMAN,Elétrico,Elétrico,A,E,0.0,0.0,A,0.0,0.5,A,0.0,0.0,False
Médio,Nissan,Versa,SENSE CVT,1.6-16V,Combustão,CVT,F,28.0,110.0,A,104.0,1.69,D,0.0,0.0,False
Médio,Nissan,Versa,ADVNC CVT,1.6-16V,Combustão,CVT,F,28.0,110.0,A,104.0,1.69,D,0.0,0.0,False
Médio,Nissan,Versa,EXCL CVT,1.6-16V,Combustão,CVT,F,28.0,110.0,A,104.0,1.69,D,0.0,0.0,False
Médio,Nissan,Versa,SR CVT,1.6-16V,Combustão,CVT,F,28.0,110.0,A,104.0,1.69,D,0.0,0.0,False
Médio,PEUGEOT,E2008,GT,ELÉTRICO,Elétrico,A-1,E,,,A,,0.55,A,,,False
Médio,Renault,MÉGANE,E-TECH,Elétrico,Elétrico,A,E,,,A,,0.51,A,,,False
Médio,VOLVO,EX30,E40 CORE,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.55,A,0.0,,False
Médio,VOLVO,EX30,E40 PLUS,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.55,A,0.0,,False
Médio,VOLVO,EX30,E60 ULTRA,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.52,A,0.0,,False
Médio,VOLVO,EX30,E60 PLUS,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.52,A,0.0,,False
Médio,VOLVO,EX30,E60 CORE,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.52,A,0.0,,False
Médio,VOLVO,EX30,TWIN ULTRA,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.62,A,0.0,,False
Médio,VW,VIRTUS,"COMFORTLINE 200TSI
AUTOMÁTICO",1.0-12V,Combustão,A - 6,F,19.0,97.0,A,101.0,1.64,C,0.0,0.0,False
Médio,VW,VIRTUS,HIGHLINE 200TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,F,19.0,97.0,A,101.0,1.64,C,0.0,0.0,False
Médio,VW,VIRTUS,TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,F,18.0,118.0,A,100.0,1.62,C,0.0,0.0,False
Médio,VW,VIRTUS,TSI MECÂNICO,1.0-12V,Combustão,M - 5,F,16.0,248.0,A,93.0,1.49,B,0.0,0.0,False
Médio,VW,VIRTUS,SENSE TSI MECÂNICO,1.0-12V,Combustão,M - 5,F,16.0,248.0,A,93.0,1.49,B,0.0,0.0,False
Médio,VW,VIRTUS,"EXCLUSIVE 250TSI
AUTOMÁTICO",1.4 -16V,Combustão,A - 6,F,17.0,96.0,A,105.0,1.7,D,0.0,0.0,False
Médio,VW,POLO,"COMFORTLINE TSI
AUTOMÁTICO",1.0-12V,Combustão,A - 6,F,17.0,117.0,A,93.0,1.5,B,0.0,0.0,False
Médio,VW,POLO,SENSE TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,F,17.0,117.0,A,93.0,1.5,B,0.0,0.0,False
Médio,VW,POLO,HIGHLINE TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,F,17.0,93.0,A,97.0,1.57,C,0.0,0.0,False
Médio,VW,POLO,MPI,1.0-12V,Combustão,M - 5,F,33.0,119.0,B,92.0,1.48,B,0.0,0.0,False
Médio,VW,POLO,TRACK 1.0 MPI,1.0-12V,Combustão,M - 5,F,33.0,119.0,B,92.0,1.48,B,0.0,0.0,False
Médio,VW,POLO,TRACK ROBUST 1.0 MPI,1.0-12V,Combustão,M - 5,F,33.0,119.0,B,92.0,1.48,B,0.0,0.0,False
Médio,VW,TERA,MPI,1.0-12V,Combustão,M - 5,F,39.0,115.0,B,93.0,1.52,B,0.0,0.0,False
Grande,AUDI,A3 Sedan,Advanced,2.0 - 16V,Combustão,DCT-7,G,11.0,154.0,A,121.0,1.95,D,0.0,0.0,False
Grande,AUDI,A3 Sedan,Performance,2.0 - 16V,Combustão,DCT-7,G,11.0,154.0,A,121.0,1.95,D,0.0,0.0,False
Grande,AUDI,A3 Sedan,Performance Black,2.0 - 16V,Combustão,DCT-7,G,11.0,154.0,A,121.0,1.95,D,0.0,0.0,False
Grande,AUDI,RS3 Sedan,,2.5 - 20V,Combustão,DCT-7,G,33.0,242.0,A,167.0,2.7,E,0.0,0.0,False
Grande,AUDI,RS3 Sedan,Track,2.5 - 20V,Combustão,DCT-7,G,33.0,242.0,A,167.0,2.7,E,0.0,0.0,False
Grande,BMW,iX1,xDrive30,Elétrico,Elétrico,A,E,0.0,0.0,A,0.0,0.6,A,0.0,0.0,False
Grande,BMW,iX1,eDrive20,Elétrico,Elétrico,A,E,0.0,0.0,A,0.0,0.55,A,0.0,0.0,False
Grande,BMW,iX2,xDrive30 MSP,Elétrico,Elétrico,A,E,0.0,0.0,A,0.0,0.59,A,0.0,0.0,False
Grande,BMW,220,,2.0 - 16V,Combustão,A-7,G,7.0,106.0,A,105.0,1.7,C,0.0,0.0,False
Grande,BMW,220,MSP,2.0 - 16V,Combustão,A-7,G,7.0,106.0,A,105.0,1.7,C,0.0,0.0,False
Grande,BMW,M235,xDrive,2.0 - 16V,Combustão,A-7,G,12.0,120.0,A,133.0,2.16,E,0.0,0.0,False
Grande,BMW,X2,M35i,2.0 - 16V,Combustão,A-7,G,11.0,176.0,A,136.0,2.21,E,0.0,0.0,False
Grande,GAC,AION Y,PREMIUM,Elétrico,Elétrico,A-1,E,,,A,,0.57,A,,,False
Grande,GAC,AION Y,ELITE,Elétrico,Elétrico,A-1,E,,,A,,0.57,A,,,False
Grande,HONDA,CIVIC HYBRID,TOURING,2.0 - 16V,Híbrido,CVT,G,24.0,128.0,A,75.0,1.21,B,0.0,0.0,False
Grande,HONDA,ZR-V,TOURING,2.0 - 16V,Combustão,CVT,G,12.0,265.0,A,120.0,1.95,D,0.0,0.0,False
Grande,JAECOO,7,PRESTIGE,1.5-16V,Plug-in,A-1,G,3.0,10.0,A,10.0,0.6,A,0.0,0.0,False
Grande,JAECOO,7,LUXURY,1.5-16V,Plug-in,A-1,G,3.0,10.0,A,10.0,0.6,A,0.0,0.0,False
Grande,LEXUS,UX 300H,UX 300H,2.0 - 16V,Híbrido,CVT,G,8.0,63.0,A,80.0,1.29,B,0.0,0.0,False
Grande,Mercedes-Benz,AMG A45S 4M,,2.0-16V,Combustão,DCT-8,G,25.0,179.0,A,148.0,2.4,E,0.0,0.0,False
Grande,Mercedes-Benz,GLA200,AMG LINE,1.3-16V,Híbrido,DCT-7,G,26.0,170.0,A,113.0,1.83,C,0.0,0.0,False
Grande,Mercedes-Benz,GLA200,PROGRESSIVE,1.3-16V,Híbrido,DCT-7,G,26.0,170.0,A,113.0,1.83,C,0.0,0.0,False
Grande,Mercedes-Benz,AMG GLA35 4M,,2.0-16V,Híbrido,DCT-8,G,10.0,117.0,A,141.0,2.29,E,0.0,0.0,False
Grande,MG,S5,EV 62KWH LUX,Elétrico,Elétrico,A-1,E,,,A,,0.51,A,,,False
Grande,MG,S5,EV 62KWH COM,Elétrico,Elétrico,A-1,E,,,A,,0.51,A,,,False
Grande,MINI,Countryman,SE EXCLUSIVE,Elétrico,Elétrico,A,E,0.0,0.0,A,0.0,0.61,A,0.0,0.0,False
Grande,MINI,Countryman,SE TOP,Elétrico,Elétrico,A,E,0.0,0.0,A,0.0,0.61,A,0.0,0.0,False
Grande,MINI,JCW,COUNTRYMAN,2.0 - 16V,Combustão,A-7,G,9.0,107.0,A,130.0,2.12,E,0.0,0.0,False
Grande,MINI,JCW,COUNTRYMAN EX,2.0 - 16V,Combustão,A-7,G,9.0,107.0,A,130.0,2.12,E,0.0,0.0,False
Grande,Nissan,Sentra,SEN CVT,2.0-16V,Combustão,CVT,G,9.0,208.0,A,110.0,1.79,C,0.0,0.0,False
Grande,Nissan,Sentra,ADV CVT,2.0-16V,Combustão,CVT,G,9.0,208.0,A,110.0,1.79,C,0.0,0.0,False
Grande,Nissan,Sentra,EXC CVT,2.0-16V,Combustão,CVT,G,9.0,208.0,A,110.0,1.79,C,0.0,0.0,False
Grande,OMODA,E5,--,Elétrico,Elétrico,A-1,E,,,A,,0.51,A,,,False
Grande,OMODA,5,HEV COMFORT,1.5-16V,Híbrido,A-1,G,25.0,152.0,A,92.0,1.5,B,0.0,0.0,False
Grande,OMODA,5,HEV LUXURY,1.5-16V,Híbrido,A-1,G,25.0,152.0,A,92.0,1.5,B,0.0,0.0,False
Grande,OMODA,5,HEV PRESTIGE,1.5-16V,Híbrido,A-1,G,25.0,152.0,A,92.0,1.5,B,0.0,0.0,False
Grande,TOYOTA,COROLLA CROSS,XRV HYBRID,1.8-16V,Híbrido,CVT,F,32.0,190.0,B,85.0,1.36,B,0.0,0.0,False
Grande,TOYOTA,COROLLA CROSS,XRX HYBRID,1.8-16V,Híbrido,CVT,F,32.0,190.0,B,85.0,1.36,B,0.0,0.0,False
Grande,TOYOTA,COROLLA,ALTIS HV,1.8 16V,Híbrido,CVT,F,32.0,150.0,B,79.0,1.26,B,0.0,0.0,False
Grande,TOYOTA,COROLLA,APREMIUMH,1.8 16V,Híbrido,CVT,F,32.0,150.0,B,79.0,1.26,B,0.0,0.0,False
Grande,TOYOTA,COROLLA,GLI HEV,1.8 16V,Híbrido,CVT,F,32.0,150.0,B,79.0,1.26,B,0.0,0.0,False
Grande,VOLVO,EC40,6 CORE,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.51,A,0.0,,False
Grande,VOLVO,EC40,6 PLUS,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.51,A,0.0,,False
Grande,VOLVO,EC40,6 ULTRA,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.51,A,0.0,,False
Grande,VOLVO,EC40,8 CORE,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.59,A,0.0,,False
Grande,VOLVO,EC40,8 PLUS,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.59,A,0.0,,False
Grande,VOLVO,EC40,8 ULTRA,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.59,A,0.0,,False
Grande,VOLVO,EC40,PERF BLACK,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.59,A,0.0,,False
Grande,VOLVO,EC40,PERF ULTRA,Elétrico,Elétrico,A-1,E,,0.0,A,0.0,0.59,A,0.0,,False
Extra Grande,AUDI,A5,Performance S Edition,2.0 - 16V,Combustão,DCT-7,G,23.0,86.0,A,141.0,2.28,D,0.0,0.0,False
Extra Grande,AUDI,RS 6 Avant,Performance,4.0 - 32V,Híbrido,A-8,G,49.0,116.0,B,209.0,3.39,E,0.0,0.0,False
Extra Grande,AUDI,A6 e-tron,Performance black,Elétrico,Elétrico,A-1,E,0.0,0.0,A,0.0,0.59,A,0.0,0.0,False
Extra Grande,AUDI,Q5 SUV,Advanced,2.0 - 16V,Combustão,DCT-7,G,10.0,94.0,A,150.0,2.43,D,0.0,0.0,False
Extra Grande,AUDI,Q5 SUV,S line,2.0 - 16V,Combustão,DCT-7,G,10.0,94.0,A,150.0,2.43,D,0.0,0.0,False
Extra Grande,AUDI,Q5 Sportback,Advanced,2.0 - 16V,Combustão,DCT-7,G,10.0,139.0,A,150.0,2.44,D,0.0,0.0,False
Extra Grande,AUDI,Q5 Sportback,S line,2.0 - 16V,Combustão,DCT-7,G,10.0,139.0,A,150.0,2.44,D,0.0,0.0,False
Extra Grande,AUDI,SQ5 SUV,,3.0 - 24V,Combustão,DCT-7,G,13.0,106.0,A,172.0,2.79,E,0.0,0.0,False
Extra Grande,AUDI,SQ5 Sportback,,3.0 - 24V,Combustão,DCT-7,G,14.0,98.0,A,179.0,2.9,E,0.0,0.0,False
Extra Grande,AUDI,Q6 e-tron Quattro,Performance,Elétrico,Elétrico,A-1,E,0.0,0.0,A,0.0,0.64,A,0.0,0.0,False
Extra Grande,AUDI,Q6 e-tron Quattro,Performance black,Elétrico,Elétrico,A-1,E,0.0,0.0,A,0.0,0.64,A,0.0,0.0,False
Extra Grande,AUDI,Q6 e-tron RWD,Performance,Elétrico,Elétrico,A-1,E,0.0,0.0,A,0.0,0.64,A,0.0,0.0,False
Extra Grande,AUDI,Q6 Sportback e-tron Quattro,Performance black,Elétrico,Elétrico,A-1,E,0.0,0.0,A,0.0,0.61,A,0.0,0.0,False
Extra Grande,AUDI,SQ6 Sportback e-tron Quattro,,Elétrico,Elétrico,A-1,E,0.0,0.0,A,0.0,0.6,A,0.0,0.0,False
Extra Grande,AUDI,Q7,S Line,3.0 - 24V,Híbrido,A-8,G,23.0,233.0,A,180.0,2.92,E,0.0,0.0,False
Extra Grande,AUDI,Q8 Sportback,Performance Black,3.0 - 24V,Híbrido,A-8,G,21.0,205.0,A,192.0,3.11,E,0.0,0.0,False
Extra Grande,AUDI,RSQ8,Performance,4.0 - 32V,Combustão,A-8,G,34.0,284.0,B,235.0,3.8,E,0.0,0.0,False
Extra Grande,BMW,420i,Cabrio,2.0 - 16V,Combustão,A-8,G,9.0,148.0,A,125.0,2.02,C,0.0,0.0,False
